@relation preprocessamentoCK

@attribute CLASSE REAL 
@attribute CBO REAL 
@attribute DIT REAL 
@attribute LCOM REAL 
@attribute NOC REAL 
@attribute RFC REAL 
@attribute WMC REAL 
@attribute UOTESTED {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@data
1,1,1,2,0,20,13,2
1,1,1,2,0,21,14,2
1,1,1,2,0,22,15,2
1,1,1,2,0,23,16,2
1,1,1,2,0,24,17,2
1,42,1,14,0,33,35,2
7,1,1,4,0,4,4,13
7,1,1,4,0,4,4,13
7,1,1,4,0,4,4,13
7,25,1,2,0,76,19,13
3,4,1,2,2,19,9,5
3,7,1,2,0,23,18,6
3,1,1,2,0,19,9,5
3,1,1,1,0,5,4,6
3,1,1,1,0,5,4,5
3,15,1,4,0,11,8,6
3,3,1,10,0,21,11,5
3,3,2,2,0,97,48,6
3,3,1,3,0,29,15,6
3,7,1,3,0,41,13,5
3,5,2,1,0,23,5,5
3,8,1,2,0,24,10,5
3,3,2,1,0,13,4,5
3,3,2,1,0,10,3,5
3,12,1,1,8,24,26,6
3,7,4,2,0,5,4,6
3,11,1,3,0,49,27,5
3,3,2,3,0,12,8,5
3,2,3,1,0,3,2,5
3,4,2,3,1,11,5,5
3,2,2,2,0,9,3,5
3,3,2,3,0,12,9,5
3,11,1,3,0,44,24,5
3,3,2,3,0,12,8,5
3,2,3,1,0,3,2,5
3,4,2,3,1,11,5,5
3,3,2,3,0,12,9,5
3,3,1,13,0,38,33,6
3,1,1,22,0,58,23,5
3,3,1,1,0,13,7,6
3,3,3,1,0,2,1,5
3,6,1,2,0,27,13,6
3,2,2,1,0,12,4,6
3,3,3,1,0,6,4,6
3,6,2,1,1,59,29,5
3,7,1,1,1,9,7,5
3,2,2,1,0,4,2,5
3,2,1,1,0,17,8,5
3,3,4,0,0,4,3,6
3,6,0,12,0,53,46,6
3,2,1,5,0,23,25,5
3,5,1,1,3,63,46,6
3,2,1,2,0,48,38,5
3,3,2,1,0,5,10,5
3,413,1,27,0,322,239,6
3,3,2,1,0,20,7,5
3,2,1,1,0,26,17,5
3,4,1,1,0,24,7,5
3,3,1,1,0,12,4,5
3,1,3,1,0,5,3,5
3,4,2,1,0,20,5,5
3,2,2,1,0,14,2,5
3,1,1,2,0,21,13,5
3,3,1,2,0,27,11,5
3,3,1,1,0,28,6,5
3,17,2,33,0,436,240,5
3,2,2,3,0,7,5,5
3,1,1,3,0,17,3,5
3,40,1,4,0,110,179,6
3,3,1,32,0,83,56,5
3,3,1,4,0,17,10,5
3,6,1,1,0,18,16,6
3,4,1,1,0,17,25,5
3,2,1,1,0,2,1,6
3,21,0,4,0,30,21,6
3,2,1,2,0,50,28,5
3,10,4,2,0,20,16,6
3,1,1,8,0,30,8,5
3,1,4,0,1,4,2,6
3,0,1,1,0,8,3,5
3,5,4,2,0,8,5,6
3,1,1,2,0,7,2,5
3,270,1,35,0,274,300,6
3,12,1,8,0,74,32,5
3,2,1,1,0,30,13,5
3,21,1,52,0,316,148,5
3,6,1,17,0,87,53,5
3,15,1,3,2,17,15,6
3,3,1,3,0,41,31,5
3,10,0,3,0,11,5,6
3,8,1,3,0,10,8,6
3,3,1,1,0,14,2,5
3,0,2,9,1,9,9,6
3,4,0,3,0,7,3,6
3,1,1,1,0,9,6,5
3,2,1,2,0,10,8,6
3,1,1,2,0,13,3,5
3,10,5,1,0,9,6,6
3,1,1,1,0,7,1,5
3,6,1,1,0,10,5,5
3,3,1,3,0,14,7,6
3,2,1,4,0,8,4,5
3,7,1,1,0,9,3,6
3,1,1,2,0,6,3,6
3,1,1,2,0,8,2,5
3,12,1,1,9,29,14,6
3,4,2,2,0,9,5,6
3,3,2,2,0,14,6,6
3,5,2,3,0,9,4,6
3,4,2,2,0,8,4,6
3,3,2,2,0,6,3,6
3,5,2,3,0,9,4,6
3,5,2,2,0,11,5,6
3,3,2,1,0,7,3,6
3,4,2,2,0,7,3,6
3,10,1,1,1,38,27,6
3,0,1,2,9,22,16,5
3,69,1,5,30,27,27,6
3,2,1,1,0,4,4,5
3,1,1,1,0,2,1,5
3,2,1,1,3,1,1,6
3,1,1,5,0,7,5,5
3,2,1,5,0,7,5,5
3,1,1,1,0,2,1,5
3,2,1,5,0,7,5,5
3,2,1,11,0,13,11,5
3,1,1,1,0,2,1,5
3,2,1,5,0,7,5,5
3,1,1,1,0,3,1,5
3,1,1,11,0,13,11,5
3,2,1,1,0,9,11,6
3,2,2,1,0,12,5,5
3,2,1,1,0,4,3,6
3,0,1,3,0,6,3,5
3,3,1,1,0,6,4,6
3,0,1,3,0,6,3,5
3,17,1,2,0,7,5,6
3,9,1,1,8,16,7,5
3,3,2,2,0,21,9,6
3,6,2,1,0,19,8,5
3,3,2,1,0,3,1,6
3,3,2,1,0,2,1,5
3,3,2,1,0,4,3,6
3,4,2,3,0,5,3,5
3,6,2,1,0,10,4,6
3,3,2,1,0,5,2,5
3,4,2,1,0,3,3,6
3,5,2,1,0,13,6,5
